"Year2";"Wall";"TotalArea1";"Address";"long";"lat"
"01.09.1987";"панельные";"617,2";"г. Ленинск, мкр. ПМК-40, д. 2";45,1823125;48,7138505
"01.09.1984";"блочные";"618,4";"г. Ленинск, ул. Им Ленина, д. 37";45,1858875;48,711306
"01.09.1984";"блочные";"597,7";"г. Ленинск, ул. Им Ленина, д. 39";45,186139;48,710991
"01.09.1982";"кирпичные";"906,3";"г. Ленинск, ул. Им Ленина, д. 54а";45,187298;48,708256
"01.09.1968";"кирпичные";"551,3";"г. Ленинск, ул. Ястребова, д. 5";45,1887085;48,7042075
"01.09.1968";"кирпичные";"722,1";"г. Ленинск, ул. Ястребова, д. 6";45,189337;48,704023
"01.09.1968";"кирпичные";"729,9";"г. Ленинск, ул. Ястребова, д. 7";45,18949;48,7044215
"01.09.1987";"панельные";"2903";"г. Ленинск, ул. Им Ленина, д. 106";45,1907925;48,7015495
"01.09.1984";"кирпичные";"900,1";"г. Ленинск, ул. Им Ленина, д. 315";45,2119745;48,6975895
"01.09.1989";"блочные";"613,4";"г. Ленинск, ул. Им Ленина, д. 317а";45,2126305;48,6977495
"01.09.1987";"кирпичные";"933,4";"г. Ленинск, ул. Карла Либкнехта, д. 45";45,190532;48,708934
"01.09.1987";"панельные";"608,7";"г. Ленинск, ул. Карла Либкнехта, д. 47";45,1908285;48,70847
"01.09.1987";"панельные";"636,8";"г. Ленинск, ул. Карла Либкнехта, д. 49";45,1911965;48,708773
"01.09.1986";"панельные";"599,7";"г. Ленинск, ул. Карла Либкнехта, д. 6";45,187253;48,711413
"01.06.1986";"панельные";"601,5";"г. Ленинск, ул. Степана Разина, д. 11";45,219754;48,7020605
"01.09.1986";"панельные";"607,8";"г. Ленинск, ул. Степана Разина, д. 13";45,2195835;48,70171
"01.09.1991";"панельные";"3938,5";"г. Ленинск, мкр. 3-й, д. 2";45,2013385;48,718808
"01.09.1995";"панельные";"3994,4";"г. Ленинск, мкр. 3-й, д. 3";45,2005035;48,7189385
"01.12.2004";"панельные";"2856,9";"г. Ленинск, мкр. 3-й, д. 5";45,201608;48,7196995
"01.09.1989";"панельные";"604,3";"г. Ленинск, ул. Орджоникидзе, д. 35";45,1987335;48,709838
"01.09.1988";"кирпичные";"965,8";"г. Ленинск, ул. Воровского, д. 47";45,2115705;48,6978865
"01.09.2000";"кирпичные";"906,4";"г. Ленинск, ул. Им Ленина, д. 208";45,1967125;48,6938725
"01.09.1989";"панельные";"590,2";"г. Ленинск, ул. Им Ленина, д. 23";45,183983;48,714231
"01.09.1988";"панельные";"590,6";"г. Ленинск, ул. Им Ленина, д. 25";45,183642;48,714005
"01.09.1988";"панельные";"602,8";"г. Ленинск, ул. Им Ленина, д. 27";45,183992;48,7137375
"01.09.1989";"блочные";"612,5";"г. Ленинск, ул. Им Ленина, д. 317";45,2126305;48,6977495
"01.09.1990";"блочные";"611,2";"г. Ленинск, ул. Им Ленина, д. 36";45,185043;48,710634
"01.09.1991";"блочные";"657,4";"г. Ленинск, ул. Им Ленина, д. 38";45,1855735;48,7107295
"01.09.1990";"панельные";"604";"г. Ленинск, ул. Карла Либкнехта, д. 8";45,186669;48,711205
"01.09.1993";"кирпичные";"532";"г. Ленинск, ул. Клары Цеткин, д. 1б";45,1961375;48,6938605
"01.09.1988";"панельные";"605,9";"г. Ленинск, ул. Орджоникидзе, д. 41";45,196775;48,71064
"01.09.1990";"кирпичные";"898,2";"г. Ленинск, ул. Карла Либкнехта, д. 14";45,189957;48,708666
"01.09.1990";"панельные";"640,4";"г. Ленинск, ул. Карла Либкнехта, д. 51";45,191062;48,708114
"01.06.1990";"панельные";"630,1";"г. Ленинск, ул. Карла Либкнехта, д. 53";45,191601;48,708108
"01.09.1990";"панельные";"594,2";"г. Ленинск, ул. Орджоникидзе, д. 45";45,1982665;48,710046
"01.09.1994";"кирпичные";"750";"г. Ленинск, ул. Промышленная, д. 22";45,2042315;48,7348365
"01.09.1992";"панельные";"603,2";"г. Ленинск, ул. Степана Разина, д. 10";45,218802;48,7016445
"01.09.1992";"панельные";"595,7";"г. Ленинск, ул. Степана Разина, д. 8";45,21873;48,7021025
